,state_code,state_name,site_number,local_site_name,county_code,total_params,Ozone,Carbon monoxide,Nitrogen dioxide (NO2),Wind Speed,Wind Direction,Relative Humidity ,Outdoor Temperature,Barometric pressure
0,27,Minnesota,0005,Boundary Waters,075,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27,Minnesota,1001,Cedar Creek,003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27,Minnesota,1002,Anoka County Airport,003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,28,Mississippi,0002,Hernando,033,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29,Missouri,0003,Watkins Mill State Park,047,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29,Missouri,1002,West Alton,183,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,32,Nevada,1005,Sparks,031,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,34,New Jersey,1001,Ancora State Hospital,007,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,34,New Jersey,3001,Chester,027,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,35,New Mexico,0008,6O La Union,013,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,36,New York,0002,BABYLON,103,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,36,New York,2004,WHITE PLAINS,119,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,36,New York,3001,WILLIAMSON,117,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,37,North Carolina,0001,Butner,077,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,37,North Carolina,0002,Castle Hayne,129,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,39,Ohio,0001,Springfield Well Fd,023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,39,Ohio,0006,Sycamore,061,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,39,Ohio,0010,Colerain,061,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,39,Ohio,0034,District 6,035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,39,Ohio,0081,Maple Canyon,049,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,39,Ohio,1001,Preble NCore,135,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,40,Oklahoma,0174,TULSA SOUTH,143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40,Oklahoma,1037,OKC NORTH,109,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,41,Oregon,0004,CARUS TRAILER/SPANGLER RD,005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,42,Pennsylvania,0011,None,021,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,42,Pennsylvania,2006,A420692006LAT/LON POINT IS AT CORNER OF TRAILER,069,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,42,Pennsylvania,0002,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,045,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,42,Pennsylvania,0005,None,125,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
